"","subject","session","task","cuecol","cueloc","validity","targloc","targtilt","delay","resp","time","corr"
"1706",1,NA,2,2,4,1,4,1,1.37946284714581,0,NA,0
"1707",1,NA,2,1,7,1,7,1,1.28949787885369,0,NA,0
"1708",1,NA,2,2,1,0,3,1,1.2195251257376,0,NA,0
"1709",1,NA,2,1,8,1,8,2,1.19953291056157,0,NA,0
"1710",1,NA,2,1,1,0,3,1,1.17954069538555,0,NA,0
"1711",1,NA,2,1,1,1,1,1,1.01960297397734,0,NA,0
"1712",1,NA,2,2,4,1,4,1,1.16954458779753,0,NA,0
"1713",1,NA,2,2,2,1,2,2,1.09957183468144,0,NA,0
"1714",1,NA,2,1,3,1,3,2,1.34947452438177,0,NA,0
"1715",1,NA,2,1,6,1,6,2,1.24951344850164,0,NA,0
"1716",1,NA,2,2,2,1,2,2,1.16954458779753,0,NA,0
"1717",1,NA,2,2,1,1,1,1,1.15954848020952,0,NA,0
"1718",1,NA,2,1,2,1,2,2,1.31948620161773,0,NA,0
"1719",1,NA,2,2,5,1,5,2,1.17954069538555,0,NA,0
"1720",1,NA,2,2,6,0,7,1,1.2994939864417,0,NA,0
"1721",1,NA,2,1,3,1,3,2,1.30949009402972,0,NA,0
"1722",1,NA,2,1,7,1,7,1,1.01960297397734,0,NA,0
"1723",1,NA,2,2,4,0,6,1,1.0695835119174,0,NA,0
"1724",1,NA,2,1,3,0,4,1,1.13955626503349,0,NA,0
"1725",1,NA,2,1,6,1,6,2,1.17954069538555,0,NA,0
"1726",1,NA,2,1,1,1,1,2,1.01960297397734,0,NA,0
"1727",1,NA,2,2,7,1,7,1,1.30949009402972,0,NA,0
"1728",1,NA,2,1,6,1,6,2,1.13955626503349,0,NA,0
"1729",1,NA,2,1,2,1,2,1,1.01960297397734,0,NA,0
"1730",1,NA,2,1,4,1,4,2,1.30949009402972,0,NA,0
"1731",1,NA,2,1,6,1,6,1,1.30949009402972,0,NA,0
"1732",1,NA,2,2,1,1,1,2,1.0695835119174,0,NA,0
"1733",1,NA,2,1,1,1,1,2,1.05958740432939,0,NA,0
"1734",1,NA,2,1,8,0,4,2,0.999610758801311,0,NA,0
"1735",1,NA,2,2,5,1,5,1,1.28949787885369,0,NA,0
"1736",1,NA,2,2,7,1,7,1,1.34947452438177,0,NA,0
"1737",1,NA,2,2,5,1,5,1,1.2195251257376,0,NA,0
"1738",1,NA,2,1,3,1,3,1,1.03959518915336,0,NA,0
"1739",1,NA,2,2,2,0,8,1,1.04959129674138,0,NA,0
"1740",1,NA,2,1,7,1,7,1,1.03959518915336,0,NA,0
"1741",1,NA,2,1,2,1,2,1,1.01960297397734,0,NA,0
"1742",1,NA,2,1,5,1,5,2,1.09957183468144,0,NA,0
"1743",1,NA,2,2,5,1,5,2,1.32948230920574,0,NA,0
"1744",1,NA,2,2,2,1,2,2,1.18953680297356,0,NA,0
"1745",1,NA,2,1,7,1,7,2,1.13955626503349,0,NA,0
"1746",1,NA,2,2,8,1,8,1,1.18953680297356,0,NA,0
"1747",1,NA,2,1,3,1,3,1,1.37946284714581,0,NA,0
"1748",1,NA,2,1,4,1,4,1,1.27950177126568,0,NA,0
"1749",1,NA,2,2,2,0,8,2,1.28949787885369,0,NA,0
"1750",1,NA,2,1,1,1,1,1,1.34947452438177,0,NA,0
"1751",1,NA,2,1,5,1,5,2,1.04959129674138,0,NA,0
"1752",1,NA,2,1,8,1,8,2,1.34947452438177,0,NA,0
"1753",1,NA,2,2,7,0,4,1,1.05958740432939,0,NA,0
"1754",1,NA,2,2,5,1,5,1,1.3694667395578,0,NA,0
"1755",1,NA,2,2,1,1,1,1,1.34947452438177,0,NA,0
"1756",1,NA,2,2,6,1,6,2,1.34947452438177,0,NA,0
"1757",1,NA,2,2,7,0,1,2,1.15954848020952,0,NA,0
"1758",1,NA,2,2,4,1,4,1,1.11956404985747,0,NA,0
"1759",1,NA,2,1,5,0,7,1,1.15954848020952,0,NA,0
"1760",1,NA,2,2,3,1,3,2,1.2195251257376,0,NA,0
"1761",1,NA,2,1,4,1,4,1,1.00960686638932,0,NA,0
"1762",1,NA,2,2,7,1,7,1,1.20952901814959,0,NA,0
"1763",1,NA,2,1,3,1,3,1,1.33947841679376,0,NA,0
"1764",1,NA,2,2,1,1,1,2,1.31948620161773,0,NA,0
"1765",1,NA,2,1,5,1,5,1,1.2195251257376,0,NA,0
"1766",1,NA,2,1,1,1,1,2,1.12956015744548,0,NA,0
"1767",1,NA,2,1,4,1,4,1,1.0695835119174,0,NA,0
"1768",1,NA,2,1,2,0,8,1,1.20952901814959,0,NA,0
"1769",1,NA,2,2,6,1,6,2,1.25950955608965,0,NA,0
"1770",1,NA,2,2,8,1,8,1,1.2994939864417,0,NA,0
"1771",1,NA,2,2,4,1,4,2,1.3694667395578,0,NA,0
"1772",1,NA,2,1,5,1,5,1,1.23951734091363,0,NA,0
"1773",1,NA,2,2,1,0,6,1,1.03959518915336,0,NA,0
"1774",1,NA,2,2,3,1,3,2,1.18953680297356,0,NA,0
"1775",1,NA,2,1,8,0,2,2,1.2994939864417,0,NA,0
"1776",1,NA,2,1,5,1,5,2,1.01960297397734,0,NA,0
"1777",1,NA,2,2,2,0,4,2,1.33947841679376,0,NA,0
"1778",1,NA,2,2,1,1,1,2,1.22952123332561,0,NA,0
"1779",1,NA,2,1,7,1,7,1,1.35947063196978,0,NA,0
"1780",1,NA,2,2,7,1,7,2,1.03959518915336,0,NA,0
"1781",1,NA,2,2,4,0,5,2,1.02959908156535,0,NA,0
"1782",1,NA,2,1,3,1,3,1,1.25950955608965,0,NA,0
"1783",1,NA,2,1,6,1,6,1,1.01960297397734,0,NA,0
"1784",1,NA,2,1,6,1,6,1,1.35947063196978,0,NA,0
"1785",1,NA,2,1,5,1,5,2,1.03959518915336,0,NA,0
"1786",1,NA,2,2,3,1,3,1,1.27950177126568,0,NA,0
"1787",1,NA,2,2,4,1,4,2,1.3694667395578,0,NA,0
"1788",1,NA,2,1,7,1,7,2,1.37946284714581,0,NA,0
"1789",1,NA,2,1,5,1,5,1,1.26950566367767,0,NA,0
"1790",1,NA,2,1,7,1,7,1,1.24951344850164,0,NA,0
"1791",1,NA,2,1,3,0,6,1,1.24951344850164,0,NA,0
"1792",1,NA,2,2,3,1,3,2,1.35947063196978,0,NA,0
"1793",1,NA,2,2,2,1,2,2,1.3694667395578,0,NA,0
"1794",1,NA,2,2,1,0,7,2,1.25950955608965,0,NA,0
"1795",1,NA,2,2,8,1,8,2,1.18953680297356,0,NA,0
"1796",1,NA,2,1,2,1,2,2,1.25950955608965,0,NA,0
"1797",1,NA,2,1,5,0,8,2,1.3694667395578,0,NA,0
"1798",1,NA,2,2,4,1,4,1,1.34947452438177,0,NA,0
"1799",1,NA,2,1,2,1,2,2,1.31948620161773,0,NA,0
"1800",1,NA,2,2,4,1,4,1,1.24951344850164,0,NA,0
"1801",1,NA,2,2,2,1,2,2,1.31948620161773,0,NA,0
"1802",1,NA,2,1,3,1,3,1,1.11956404985747,0,NA,0
"1803",1,NA,2,1,8,1,8,1,1.38945895473382,0,NA,0
"1804",1,NA,2,2,8,1,8,2,1.20952901814959,0,NA,0
"1805",1,NA,2,1,6,1,6,2,1.28949787885369,0,NA,0
"1806",1,NA,2,2,4,1,4,1,1.11956404985747,0,NA,0
"1807",1,NA,2,1,2,1,2,2,1.04959129674138,0,NA,0
"1808",1,NA,2,2,1,1,1,2,1.07957961950542,0,NA,0
"1809",1,NA,2,1,8,0,6,2,1.27950177126568,0,NA,0
"1810",1,NA,2,2,2,1,2,1,1.2994939864417,0,NA,0
"1811",1,NA,2,2,6,1,6,1,1.31948620161773,0,NA,0
"1812",1,NA,2,1,8,1,8,1,1.15954848020952,0,NA,0
"1813",1,NA,2,1,4,0,2,1,1.23951734091363,0,NA,0
"1814",1,NA,2,2,3,1,3,1,1.34947452438177,0,NA,0
"1815",1,NA,2,2,6,0,3,1,1.11956404985747,0,NA,0
"1816",1,NA,2,1,7,1,7,2,1.2994939864417,0,NA,0
"1817",1,NA,2,2,4,1,4,2,1.2994939864417,0,NA,0
"1818",1,NA,2,2,7,0,8,2,1.22952123332561,0,NA,0
"1819",1,NA,2,2,1,1,1,1,1.23951734091363,0,NA,0
"1820",1,NA,2,1,8,1,8,2,1.26950566367767,0,NA,0
"1821",1,NA,2,1,6,0,5,2,1.28949787885369,0,NA,0
"1822",1,NA,2,2,3,0,7,2,1.09957183468144,0,NA,0
"1823",1,NA,2,2,3,1,3,2,1.17954069538555,0,NA,0
"1824",1,NA,2,1,5,0,7,2,1.16954458779753,0,NA,0
"1825",1,NA,2,1,8,1,8,1,1.34947452438177,0,NA,0
"1826",1,NA,2,2,8,1,8,1,1.03959518915336,0,NA,0
"1827",1,NA,2,1,2,1,2,1,1.04959129674138,0,NA,0
"1828",1,NA,2,2,2,1,2,1,1.25950955608965,0,NA,0
"1829",1,NA,2,1,6,1,6,1,1.18953680297356,0,NA,0
"1830",1,NA,2,2,1,1,1,1,1.22952123332561,0,NA,0
"1831",1,NA,2,2,1,1,1,2,0.999610758801311,0,NA,0
"1832",1,NA,2,1,7,1,7,2,1.04959129674138,0,NA,0
"1833",1,NA,2,2,6,1,6,2,1.16954458779753,0,NA,0
"1834",1,NA,2,1,5,1,5,1,1.13955626503349,0,NA,0
"1835",1,NA,2,2,5,1,5,1,1.11956404985747,0,NA,0
"1836",1,NA,2,2,1,1,1,1,1.26950566367767,0,NA,0
"1837",1,NA,2,1,5,1,5,2,1.22952123332561,0,NA,0
"1838",1,NA,2,1,6,1,6,2,1.12956015744548,0,NA,0
"1839",1,NA,2,2,7,0,1,1,1.09957183468144,0,NA,0
"1840",1,NA,2,2,7,1,7,1,1.22952123332561,0,NA,0
"1841",1,NA,1,2,4,1,4,2,1.26950566367767,2,0.466033445394714,1
"1842",1,NA,1,2,4,1,4,1,1.11956404985747,1,0.53659886280002,1
"1843",1,NA,1,1,3,0,2,2,1.33947841679376,2,0.559037772040028,1
"1844",1,NA,1,1,7,0,1,2,1.20952901814959,2,0.537741534873931,1
"1845",1,NA,1,2,5,1,5,2,1.11956404985747,1,0.673965265959851,0
"1846",1,NA,1,1,3,1,3,2,1.2195251257376,2,0.430716667502566,1
"1847",1,NA,1,1,7,1,7,1,1.05958740432939,1,0.43290792937114,1
"1848",1,NA,1,2,7,1,7,2,1.32948230920574,2,0.461626403252012,1
"1849",1,NA,1,1,5,1,5,2,1.28949787885369,2,0.416042682565603,1
"1850",1,NA,1,1,7,1,7,2,1.05958740432939,2,0.51836742723026,1
"1851",1,NA,1,2,5,1,5,2,1.22952123332561,2,0.452793787604605,1
"1852",1,NA,1,2,5,0,7,2,1.35947063196978,2,0.565730443431676,1
"1853",1,NA,1,2,3,1,3,1,1.2195251257376,1,0.458011647959211,1
"1854",1,NA,1,2,6,1,6,1,1.26950566367767,1,0.458437013909133,1
"1855",1,NA,1,1,8,1,8,1,1.07957961950542,1,0.736862977424607,1
"1856",1,NA,1,1,4,1,4,2,1.20952901814959,2,0.651662633481465,1
"1857",1,NA,1,2,5,1,5,1,1.11956404985747,2,0.607776385233592,0
"1858",1,NA,1,2,6,1,6,1,1.28949787885369,1,0.534450935803761,1
"1859",1,NA,1,2,6,1,6,2,1.28949787885369,2,0.524667804016644,1
"1860",1,NA,1,1,4,1,4,1,1.34947452438177,1,0.563373824825248,1
"1861",1,NA,1,1,8,1,8,1,1.00960686638932,1,0.789778273723641,1
"1862",1,NA,1,2,2,1,2,2,1.12956015744548,2,0.446372244241502,1
"1863",1,NA,1,2,7,1,7,1,1.17954069538555,2,0.734849046406453,0
"1864",1,NA,1,1,6,1,6,1,1.22952123332561,2,0.683388604298671,0
"1865",1,NA,1,2,4,1,4,2,1.37946284714581,2,0.5801746395191,1
"1866",1,NA,1,1,8,1,8,1,1.27950177126568,2,0.815037085525546,0
"1867",1,NA,1,2,2,1,2,2,1.27950177126568,2,0.642920108748513,1
"1868",1,NA,1,2,2,1,2,2,1.31948620161773,2,0.671348067950021,1
"1869",1,NA,1,1,4,1,4,1,1.02959908156535,1,0.881806995617808,1
"1870",1,NA,1,2,4,1,4,1,1.10956794226946,1,0.602291958413844,1
"1871",1,NA,1,1,2,1,2,1,1.2994939864417,1,0.524805791363178,1
"1872",1,NA,1,1,8,1,8,2,1.22952123332561,2,0.475284299551276,1
"1873",1,NA,1,1,6,0,5,1,1.38945895473382,1,0.549776939464209,1
"1874",1,NA,1,2,1,1,1,2,1.34947452438177,2,0.524381280705711,1
"1875",1,NA,1,1,2,0,8,2,1.3694667395578,2,0.472900881752139,1
"1876",1,NA,1,2,4,0,5,1,1.10956794226946,1,0.473326247702062,1
"1877",1,NA,1,2,2,1,2,2,1.24951344850164,2,0.481880322775396,1
"1878",1,NA,1,1,6,1,6,2,1.25950955608965,2,0.520368813948153,1
"1879",1,NA,1,2,7,1,7,2,1.02959908156535,2,0.422746472770086,1
"1880",1,NA,1,2,8,0,7,2,1.2195251257376,2,0.544130577083706,1
"1881",1,NA,1,1,8,1,8,1,1.17954069538555,1,0.420271538572706,1
"1882",1,NA,1,1,2,1,2,1,1.14955237262151,2,0.520879424148006,0
"1883",1,NA,1,1,1,1,1,1,1.13955626503349,1,0.489341617896571,1
"1884",1,NA,1,1,1,1,1,2,1.12956015744548,2,0.424108955267002,1
"1885",1,NA,1,1,8,1,8,2,1.35947063196978,2,0.420571461479994,1
"1886",1,NA,1,2,7,1,7,2,1.22952123332561,2,0.422840840146819,1
"1887",1,NA,1,1,4,1,4,2,1.22952123332561,1,0.599296435593715,0
"1888",1,NA,1,1,1,1,1,1,1.3694667395578,1,0.511837261601613,1
"1889",1,NA,1,1,1,0,6,1,1.09957183468144,1,0.934276969113853,1
"1890",1,NA,1,1,3,1,3,2,1.35947063196978,2,0.436978556084796,1
"1891",1,NA,1,2,3,1,3,2,1.25950955608965,2,0.543310350647516,1
"1892",1,NA,1,1,7,1,7,1,1.31948620161773,2,0.705843193914916,0
"1893",1,NA,1,1,5,0,4,1,1.15954848020952,1,0.95653569652859,1
"1894",1,NA,1,1,3,0,6,1,1.19953291056157,1,0.672910974211845,1
"1895",1,NA,1,2,3,1,3,1,1.39945506232184,2,0.693439157843386,0
"1896",1,NA,1,2,1,0,4,2,1.10956794226946,2,0.700278084415913,1
"1897",1,NA,1,1,6,0,3,2,1.37946284714581,1,0.788704025126208,0
"1898",1,NA,1,2,8,1,8,2,1.04959129674138,2,0.461207594547886,1
"1899",1,NA,1,1,4,0,2,1,1.31948620161773,1,0.757544828782557,1
"1900",1,NA,1,1,6,1,6,2,1.34947452438177,2,0.895978923286748,1
"1901",1,NA,1,2,3,1,3,1,1.2195251257376,1,0.52474021886519,1
"1902",1,NA,1,1,3,1,3,1,1.38945895473382,2,0.407257678256428,0
"1903",1,NA,1,2,8,1,8,2,1.37946284714581,2,0.385737639298895,1
"1904",1,NA,1,2,1,1,1,2,1.13955626503349,2,0.426132579610567,1
"1905",1,NA,1,2,3,1,3,1,1.18953680297356,1,0.862632171349105,1
"1906",1,NA,1,1,2,1,2,1,1.2994939864417,1,0.453127066961315,1
"1907",1,NA,1,1,6,1,6,1,1.26950566367767,1,0.415662076971785,1
"1908",1,NA,1,1,5,1,5,1,1.24951344850164,1,0.378021181626536,1
"1909",1,NA,1,1,8,0,4,1,1.09957183468144,1,0.808459878753638,1
"1910",1,NA,1,2,7,1,7,2,1.17954069538555,1,0.597042452205642,0
"1911",1,NA,1,1,1,1,1,2,1.10956794226946,2,0.455456601270271,1
"1912",1,NA,1,1,5,1,5,1,1.2994939864417,1,0.418104510019475,1
