subject,session,task,cuecol,cueloc,validity,targloc,targtilt,delay,resp,time,corr
6,1,1,2,6,1,6,1,1.13966588349215,2,0.896295643731719,0
6,1,1,1,1,1,1,2,1.11967174518527,2,0.838830238695664,1
6,1,1,2,2,1,2,1,1.37959554317471,1,0.941425548942789,1
6,1,1,2,4,1,4,2,1.09967760687839,2,0.961729929331341,1
6,1,1,1,6,0,2,2,1.18965122925935,2,1.14629115337448,1
6,1,1,1,7,1,7,1,1.09967760687839,1,0.614137514294271,1
6,1,1,2,1,1,1,1,1.06968639941807,1,0.986374129406613,1
6,1,1,1,7,1,7,1,0.999706915343995,1,0.998925451294781,1
6,1,1,2,2,1,2,1,1.05968933026463,1,1.19727049233188,1
6,1,1,1,6,1,6,2,1.17965416010591,2,0.666417487689614,1
6,1,1,1,5,1,5,1,1.02969812280432,1,0.742766610816034,1
6,1,1,1,2,1,2,1,1.39958968148159,1,0.895134138972935,1
6,1,1,1,2,1,2,2,1.04969226111119,2,1.24376717560153,1
6,1,1,2,4,1,4,2,1.02969812280432,1,0.520491549723374,0
6,1,1,1,3,0,1,2,1.16965709095247,2,0.72065782109712,1
6,1,1,1,4,0,6,1,1.04969226111119,2,0.733080276972032,0
6,1,1,2,4,1,4,2,1.19964829841279,2,0.551721316405747,1
6,1,1,2,3,1,3,2,1.28962192079375,2,0.575911064202955,1
6,1,1,2,6,1,6,1,1.22963950587311,1,0.446706632239511,1
6,1,1,2,2,0,7,2,1.18965122925935,2,0.667155331160757,1
6,1,1,1,8,1,8,1,1.36959847402127,1,0.421648749441374,1
6,1,1,1,1,1,1,2,1.32961019740751,2,0.472204997320659,1
6,1,1,2,3,1,3,1,1.34960433571439,2,0.73069026853409,0
6,1,1,2,5,0,6,1,1.10967467603183,1,0.639276080899435,1
6,1,1,2,4,1,4,1,1.39958968148159,2,0.56761631226982,0
6,1,1,2,5,1,5,1,1.08968053772495,1,0.67206763527065,1
6,1,1,1,6,1,6,1,1.30961605910063,1,0.554815811403387,1
6,1,1,1,5,1,5,2,1.09967760687839,2,0.491472747544321,1
6,1,1,2,5,0,2,1,1.15966002179903,2,0.549614699164522,0
6,1,1,1,2,1,2,1,1.02969812280432,2,0.678250353026669,0
6,1,1,1,7,1,7,2,1.16965709095247,2,0.715151649925247,1
6,1,1,1,8,1,8,1,1.03969519195776,1,0.759594459788786,1
6,1,1,2,2,1,2,2,1.30961605910063,2,0.493592479469953,1
6,1,1,2,5,1,5,2,1.10967467603183,2,0.5861504955501,1
6,1,1,1,8,1,8,2,1.22963950587311,2,0.634721294452902,1
